n_particles,n_iterations,w,c1,c2,mean_fitness,std_fitness,all_fitnesses
50,100,0.7,1.5,2.0,0.9449838187702265,0.0,"[0.9449838187702265, 0.9449838187702265, 0.9449838187702265]"
50,100,0.7,2.0,1.0,0.932475884244373,0.0,"[0.932475884244373, 0.932475884244373, 0.932475884244373]"
50,100,0.7,2.0,1.5,0.9511400651465798,0.0,"[0.9511400651465798, 0.9511400651465798, 0.9511400651465798]"
50,100,0.7,2.0,2.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.9,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
50,100,0.9,1.0,1.5,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
50,100,0.9,1.0,2.0,0.9225806451612902,1.1102230246251565e-16,"[0.9225806451612903, 0.9225806451612903, 0.9225806451612903]"
50,100,0.9,1.5,1.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
50,100,0.9,1.5,1.5,0.9329073482428115,0.0,"[0.9329073482428115, 0.9329073482428115, 0.9329073482428115]"
50,100,0.9,1.5,2.0,0.9668874172185431,0.0,"[0.9668874172185431, 0.9668874172185431, 0.9668874172185431]"
50,100,0.9,2.0,1.0,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
50,100,0.9,2.0,1.5,0.9423076923076922,1.1102230246251565e-16,"[0.9423076923076923, 0.9423076923076923, 0.9423076923076923]"
50,100,0.9,2.0,2.0,0.9453376205787781,0.0,"[0.9453376205787781, 0.9453376205787781, 0.9453376205787781]"
100,30,0.5,1.0,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,30,0.5,1.0,1.5,0.9483870967741935,0.0,"[0.9483870967741935, 0.9483870967741935, 0.9483870967741935]"
100,30,0.5,1.0,2.0,0.9573770491803278,0.0,"[0.9573770491803278, 0.9573770491803278, 0.9573770491803278]"
100,30,0.5,1.5,1.0,0.9274447949526814,0.0,"[0.9274447949526814, 0.9274447949526814, 0.9274447949526814]"
100,30,0.5,1.5,1.5,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
100,30,0.5,1.5,2.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,30,0.5,2.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,30,0.5,2.0,1.5,0.9333333333333332,1.1102230246251565e-16,"[0.9333333333333333, 0.9333333333333333, 0.9333333333333333]"
100,30,0.5,2.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.7,1.0,1.0,0.9245283018867925,0.0,"[0.9245283018867925, 0.9245283018867925, 0.9245283018867925]"
100,30,0.7,1.0,1.5,0.9358974358974358,1.1102230246251565e-16,"[0.9358974358974359, 0.9358974358974359, 0.9358974358974359]"
100,30,0.7,1.0,2.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,30,0.7,1.5,1.0,0.9419354838709677,0.0,"[0.9419354838709677, 0.9419354838709677, 0.9419354838709677]"
100,30,0.7,1.5,1.5,0.9216300940438872,0.0,"[0.9216300940438872, 0.9216300940438872, 0.9216300940438872]"
100,30,0.7,1.5,2.0,0.9358974358974358,1.1102230246251565e-16,"[0.9358974358974359, 0.9358974358974359, 0.9358974358974359]"
100,30,0.7,2.0,1.0,0.935064935064935,0.0,"[0.935064935064935, 0.935064935064935, 0.935064935064935]"
100,30,0.7,2.0,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.7,2.0,2.0,0.9501661129568107,1.1102230246251565e-16,"[0.9501661129568106, 0.9501661129568106, 0.9501661129568106]"
100,30,0.9,1.0,1.0,0.948051948051948,0.0,"[0.948051948051948, 0.948051948051948, 0.948051948051948]"
100,30,0.9,1.0,1.5,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
100,30,0.9,1.0,2.0,0.9363057324840764,0.0,"[0.9363057324840764, 0.9363057324840764, 0.9363057324840764]"
